Date,SPY,TLT,GLD,XLE,EEM
2011-01-31,97.919448852539062,58.236251831054688,129.8699951171875,21.692243576049805,32.873645782470703
2011-02-01,99.487037658691406,57.947948455810547,130.80000305175781,22.045131683349609,33.670185089111328
2011-02-02,99.296798706054688,57.9608154296875,130.44999694824219,22.027338027954102,33.419033050537109
2011-02-03,99.5174560546875,57.480293273925781,132.19999694824219,22.039199829101562,33.375972747802734
2011-02-04,99.79901123046875,56.897285461425781,131.66000366210938,21.982856750488281,33.368789672851562
2011-02-07,100.42295074462891,57.191993713378906,131.67999267578125,22.110376358032227,33.411853790283203
2011-02-08,100.87958526611328,56.666652679443359,133.13999938964844,22.036235809326172,33.42620849609375
2011-02-09,100.65131378173828,57.159934997558594,133.07000732421875,21.757488250732422,32.658363342285156
2011-02-10,100.68932342529297,56.500057220458984,132.85000610351562,21.979900360107422,32.349796295166016
2011-02-11,101.29051971435547,57.313713073730469,132.32000732421875,21.976919174194336,32.744483947753906
2011-02-14,101.53397369384766,57.352165222167969,132.94999694824219,22.460300445556641,32.579429626464844
2011-02-15,101.21437835693359,57.608417510986328,133.97000122070312,22.226018905639648,32.644016265869141
2011-02-16,101.85356903076172,57.422603607177734,134.10000610351562,22.522571563720703,32.916709899902344
2011-02-17,102.157958984375,57.512287139892578,135.03999328613281,22.744976043701172,33.031524658203125
2011-02-18,102.37104034423828,57.332923889160156,135.41000366210938,22.839872360229492,33.232452392578125
2011-02-22,100.31645965576172,58.191432952880859,136.28999328613281,22.617467880249023,32.170391082763672
2011-02-23,99.700088500976562,58.402847290039062,137.50999450683594,23.077112197875977,32.199092864990234
2011-02-24,99.631576538085938,58.774402618408203,136.47999572753906,22.750913619995117,32.278030395507812
2011-02-25,100.69692993164062,59.120342254638672,137.3800048828125,23.112693786621094,32.665538787841797
2011-02-28,101.32091522216797,59.197238922119141,137.66000366210938,23.290622711181641,32.859283447265625
2011-03-01,99.631576538085938,59.368881225585938,140.02999877929688,22.854703903198242,32.522014617919922
2011-03-02,99.844673156738281,58.456157684326172,139.91999816894531,22.985177993774414,32.966930389404297
2011-03-03,101.56442260742188,57.884132385253906,138.08999633789062,23.379583358764648,33.619964599609375
2011-03-04,100.80347442626953,58.366191864013672,139.35000610351562,23.231306076049805,33.655841827392578
2011-03-07,100.01210784912109,57.993450164794922,139.72000122070312,23.068210601806641,33.182231903076172
2011-03-08,100.88716125488281,57.639904022216797,139.36000061035156,22.87841796875,33.627132415771484
2011-03-09,100.74258422851562,58.199089050292969,139.41000366210938,22.721267700195312,33.691730499267578
2011-03-10,98.87823486328125,59.176059722900391,137.77000427246094,21.893894195556641,32.694252014160156
2011-03-11,99.563102722167969,58.841827392578125,138.22000122070312,22.273471832275391,33.031524658203125
2011-03-14,98.961944580078125,58.816097259521484,138.86000061035156,22.395059585571289,33.225273132324219
2011-03-15,97.828140258789062,59.696666717529297,136.27000427246094,22.226018905639648,32.672714233398438
2011-03-16,96.017074584960938,60.37152099609375,136.24000549316406,21.870161056518555,32.005332946777344
2011-03-17,97.287849426269531,59.908809661865234,136.97000122070312,22.53740119934082,32.400028228759766
2011-03-18,97.641700744628906,60.069450378417969,138.3699951171875,22.431772232055664,32.457439422607422
2011-03-21,99.154960632324219,59.715934753417969,139.13999938964844,23.113140106201172,33.081760406494141
2011-03-22,98.811050415039062,59.915184020996094,139.05000305175781,23.062559127807617,33.182231903076172
2011-03-23,99.09381103515625,59.838047027587891,140.33999633789062,23.122072219848633,33.619964599609375
2011-03-24,100.04148864746094,59.388141632080078,139.22000122070312,23.205375671386719,34.007465362548828
2011-03-25,100.34719848632812,59.240322113037109,139.25999450683594,23.413665771484375,33.971588134765625
2011-03-28,100.10260772705078,59.323894500732422,138.53999328613281,23.357124328613281,33.799362182617188
2011-03-29,100.77519226074219,58.867546081542969,138.21000671386719,23.642768859863281,34.186859130859375
2011-03-30,101.47064208984375,59.336738586425781,138.66999816894531,23.806413650512695,34.624610900878906
2011-03-31,101.33309936523438,59.214626312255859,139.86000061035156,23.729070663452148,34.926010131835938
2011-04-01,101.76108551025391,59.502445220947266,139.19999694824219,23.800470352172852,35.485740661621094
2011-04-04,101.84517669677734,59.567024230957031,139.83999633789062,23.815340042114258,35.787136077880859
