,realized_return,forecast_var,exception,rolling_exception_rate
2019-10-25,0.0022870430358004736,-0.0081215833312390951,0,0.035714285714285712
2019-10-28,-0.0012951869379101088,-0.0080828019019607254,0,0.035714285714285712
2019-10-29,-0.00047750303429721079,-0.0080828019019607254,0,0.035714285714285712
2019-10-30,0.0041173387674293795,-0.0080828019019607254,0,0.035714285714285712
2019-10-31,0.0025855056142223831,-0.0080828019019607254,0,0.035714285714285712
2019-11-01,0.0068534721390593242,-0.0080828019019607254,0,0.035714285714285712
2019-11-04,0.002135745639762072,-0.0080828019019607254,0,0.035714285714285712
2019-11-05,-0.0049776177211550698,-0.0080828019019607254,0,0.035714285714285712
2019-11-06,-0.00011066077224061184,-0.0080828019019607254,0,0.035714285714285712
2019-11-07,-0.0032208589544904177,-0.0080828019019607254,0,0.035714285714285712
2019-11-08,-0.0023379322171500293,-0.0080828019019607254,0,0.035714285714285712
2019-11-11,-0.0022271493043525439,-0.0080828019019607254,0,0.035714285714285712
2019-11-12,0.0012370090688517575,-0.0080828019019607254,0,0.035714285714285712
2019-11-13,0.001152984355954678,-0.0080828019019607254,0,0.031746031746031744
2019-11-14,0.0035979193825406595,-0.0079879160650526745,0,0.031746031746031744
2019-11-15,0.0038096914681169164,-0.0079879160650526745,0,0.031746031746031744
2019-11-18,-0.00018356770480098015,-0.0079879160650526745,0,0.031746031746031744
2019-11-19,0.00076962687552474237,-0.0079879160650526745,0,0.031746031746031744
2019-11-20,0.0017440302206626068,-0.0079879160650526745,0,0.031746031746031744
2019-11-21,-0.0015970238087972153,-0.0079879160650526745,0,0.027777777777777776
2019-11-22,0.00059588111500552543,-0.0074763186808431874,0,0.027777777777777776
2019-11-25,0.0042173075539481408,-0.0074763186808431874,0,0.027777777777777776
2019-11-26,0.0018708281605520293,-0.0074763186808431874,0,0.027777777777777776
2019-11-27,0.00063054981283314237,-0.0074763186808431874,0,0.027777777777777776
2019-11-29,-0.0036679394549882505,-0.0074763186808431874,0,0.027777777777777776
2019-12-02,-0.0068306913177921327,-0.0074763186808431874,0,0.027777777777777776
2019-12-03,0.001984802103304728,-0.0074763186808431874,0,0.027777777777777776
2019-12-04,0.0020228303333890366,-0.0074763186808431874,0,0.027777777777777776
2019-12-05,-0.0004403221516920574,-0.0074763186808431874,0,0.023809523809523808
2019-12-06,0.0032757469567532621,-0.0071054439494865193,0,0.023809523809523808
2019-12-09,-0.0012708054281365625,-0.0071054439494865193,0,0.023809523809523808
2019-12-10,0.00054779508701496837,-0.0070998700403760223,0,0.023809523809523808
2019-12-11,0.0054296636323218793,-0.0070998700403760223,0,0.023809523809523808
2019-12-12,0.0023875025872107658,-0.0070998700403760223,0,0.023809523809523808
2019-12-13,0.0030013908399876385,-0.0070998700403760223,0,0.023809523809523808
2019-12-16,0.0026811277789486449,-0.0070998700403760223,0,0.01984126984126984
2019-12-17,0.00068791160133545586,-0.0070926676565399955,0,0.01984126984126984
2019-12-18,-0.0010987157840984417,-0.0069463508864946498,0,0.01984126984126984
2019-12-19,0.0024404368600069786,-0.0069463508864946498,0,0.01984126984126984
2019-12-20,0.0033954450351374784,-0.0069463508864946498,0,0.01984126984126984
2019-12-23,0.0018687803612014555,-0.0068114662580176224,0,0.015873015873015872
2019-12-24,0.0018696179438324355,-0.0067125375010583964,0,0.011904761904761904
2019-12-26,0.0045964777464919792,-0.0064044652185045337,0,0.011904761904761904
2019-12-27,0.00010266807858017035,-0.0064044652185045337,0,0.011904761904761904
2019-12-30,-0.0037806776545031119,-0.0064044652185045337,0,0.011904761904761904
2019-12-31,-0.00039968242315891454,-0.0064044652185045337,0,0.011904761904761904
2020-01-02,0.010593536954767358,-0.0064044652185045337,0,0.011904761904761904
2020-01-03,0.00065763425419539372,-0.0064044652185045337,0,0.011904761904761904
2020-01-06,0.0022131794577601393,-0.006194946196948106,0,0.011904761904761904
